image,x,y,x2,y2,error
02_test.tif,458,275,442,279,16.492422502470642
04_test.tif,361,275,354,280,8.602325267042627
06_test.tif,461,268,447,272,14.560219778561036
08_test.tif,485,277,472,280,13.341664064126334
10_left.jpeg,2439,1697,2278,1550,218.01376103356412
10_right.jpeg,2985,1562,2905,2192,635.0590523722971
10_test.tif,468,278,407,367,107.89810007595129
12_test.tif,82,257,91,259,9.219544457292887
13_left.jpeg,504,832,728,664,280.0
13_right.jpeg,2119,852,1841,564,400.2848985410267
13_test.tif,486,268,390,415,175.57049866079439
14_test.tif,479,275,467,283,14.422205101855956
15_test.tif,193,282,196,283,3.1622776601683795
16_test.tif,479,258,467,305,48.507731342539614
17_left.jpeg,1396,1322,1578,1230,203.93136100168604
17_test.tif,467,267,445,264,22.20360331117452
18_test.tif,471,262,423,353,102.88342918079665
19_left.jpeg,1445,1176,1359,1096,117.45637488020819
19_right.jpeg,2456,1269,2383,1216,90.21086409075129
19_test.tif,486,275,482,281,7.211102550927978
20_left.jpeg,2539,1513,2657,1362,191.637678967368
20_right.jpeg,1293,1296,1288,1192,104.12012293500234
20_test.tif,482,284,433,383,110.46266337545913
21_left.jpeg,1724,1589,1971,1034,607.481686966776
21_right.jpeg,3036,1556,2926,1243,331.7664841420845
21_training.tif,77,257,207,150,168.37161280928564
22_left.jpeg,747,848,696,770,93.1933474020544
22_right.jpeg,1821,910,1931,856,122.53978945632312
22_training.tif,471,272,459,281,15.0
23_left.jpeg,1417,1127,1556,968,211.19185590358356
23_right.jpeg,2676,1242,2371,775,557.7759406786922
23_training.tif,428,227,438,228,10.04987562112089
24_training.tif,472,289,444,212,81.93289937503738
25_left.jpeg,2635,1455,2397,1271,300.83217912982644
25_right.jpeg,791,1846,1099,1552,425.7933771208754
25_training.tif,464,270,453,276,12.529964086141668
26_training.tif,80,245,91,246,11.045361017187261
27_training.tif,492,283,483,284,9.055385138137417
29_training.tif,497,271,492,279,9.433981132056603
30_training.tif,492,291,485,288,7.615773105863909
31_left.jpeg,1665,1542,1736,1031,515.9089066879927
31_right.jpeg,3366,1536,3358,1606,70.45565981523414
31_training.tif,393,250,394,252,2.23606797749979
32_training.tif,491,285,477,288,14.317821063276353
33_left.jpeg,1657,1592,1648,1577,17.4928556845359
33_training.tif,470,305,462,299,10.0
34_training.tif,388,223,278,275,121.67168939404104
35_training.tif,81,276,91,273,10.44030650891055
37_training.tif,496,292,410,200,125.93649193144932
38_training.tif,490,274,485,275,5.0990195135927845
